rental_id,customer_name,rent_out_timestamp,return_timestamp,rental_duration_hours,actual_duration_hours,vehicle_make_model,non_return,Duration_Difference,hour_of_day,is_weekend,customer_name_clean,anomaly_score,anomaly
R00013,TAYLOR WILLIAMS,2025-03-17 18:44:00,2025-04-11 11:30:36.540302,50.5,592.4,Tesla Model 3,False,541.9,18,False,Taylor Williams,10.73069306930693,True
R00017,Pat Brown,2025-03-19 19:37:00,,36.2,999.0,Toyota Corolla,True,962.8,19,False,Pat Brown,36.59668508287292,True
R00019,John Davis,2025-06-16 21:06:00,2025-07-27 19:25:43.367973,47.6,982.0,Toyota Corolla,False,934.4,21,False,John Davis,19.630252100840334,True
R00021,Alex Miller,2025-04-19 23:14:00,,10.9,999.0,Ford Focus,True,988.1,23,True,Alex Miller,100.65137614678899,True
R00023,Jordan Johnson,2025-05-04 08:30:00,2025-05-15 23:18:03.968831,67.5,278.1,Tesla Model 3,False,210.60000000000002,8,True,Jordan Johnson,3.1200000000000006,True
R00029,Jane Miller,2025-04-02 06:13:00,,3.2,999.0,Chevrolet Malibu,True,995.8,6,False,Jane Miller,321.18749999999994,True
R00039,Chris Williams,2025-05-07 01:56:00,2025-05-24 23:04:19.022354,17.0,428.5,Chevrolet Malibu,False,411.5,1,False,Chris Williams,24.205882352941178,True
R00041,Jane Johnson,2025-04-05 06:08:00,,12.6,999.0,Ford Focus,True,986.4,6,True,Jane Johnson,88.28571428571429,True
R00068,Chris Williams,2025-03-23 04:40:00,2025-03-27 06:28:43.652581,20.7,97.1,Honda Civic,False,76.39999999999999,4,True,Chris Williams,3.690821256038647,True
R00077,John Johnson,2025-03-28 22:03:00,2025-04-13 09:42:02.126735,37.3,370.9,Nissan Altima,False,333.59999999999997,22,False,John Johnson,8.943699731903486,True
R00081,Jordan Miller,2025-02-12 21:21:00,2025-02-28 02:58:46.598167,65.6,365.3,BMW 3 Series,False,299.70000000000005,21,False,Jordan Miller,4.56859756097561,True
R00088,Sam Smith,2025-06-11 03:53:00,2025-06-20 14:33:11.615181,51.3,226.4,Chevrolet Malibu,False,175.10000000000002,3,False,Sam Smith,3.4132553606237823,True
R00090,jane jones,2025-04-11 04:15:00,2025-04-17 08:19:03.303597,35.4,147.1,Audi A4,False,111.69999999999999,4,False,Jane Jones,3.155367231638418,True
R00105,PAT DAVIS,2025-03-20 09:03:00,2025-03-29 15:39:52.779380,47.1,221.7,BMW 3 Series,False,174.6,9,False,Pat Davis,3.707006369426751,True
