rental_id,customer_name,rent_out_timestamp,return_timestamp,rental_duration_hours,actual_duration_hours,vehicle_make_model
R00001,John Johnson,2025-03-20T11:38:00,2025-03-22T16:44:16.206440,62.3,52.8,Toyota Corolla
R00002,alex davis,2025-03-29T05:55:00,2025-03-31T03:43:17.499200,59.6,45.1,Chevrolet Malibu
R00003,John Johnson,2025-02-09T17:22:00,2025-02-10T01:02:33.688890,6.5,7.6,Toyota Corolla
R00004,jordan brown,2025-06-15T17:53:00,2025-06-16T01:45:45.529484,5.3,7.3,Nissan Altima
R00005,Taylor Johnson,2025-02-25T18:21:00,2025-02-27T10:25:49.543114,39.1,39.1,Tesla Model 3
R00006,Jane Williams,2025-06-07T00:26:00,2025-06-07T02:19:46.989030,2.0,1.1,Audi A4
R00007,Jane Johnson,2025-03-26T12:11:00,2025-03-26T16:00:15.933284,2.4,3.2,Tesla Model 3
R00008,Sam Johnson,2025-04-24T05:41:00,2025-04-26T06:43:20.277590,45.3,48.7,Chevrolet Malibu
R00009,Sam Williams,2025-02-07T10:11:00,2025-02-10T06:05:31.989757,19.3,67.3,Toyota Corolla
R00010,jordan miller,2025-06-12T17:59:00,2025-06-14T04:46:57.773655,51.8,34.4,Chevrolet Malibu
R00011,Alex Brown,2025-05-03T15:27:00,2025-05-04T02:30:13.819130,9.4,10.5,Ford Focus
R00012,Pat Davis,2025-04-02T03:56:00,2025-04-02T17:50:53.298524,21.5,13.8,Chevrolet Malibu
R00013,TAYLOR WILLIAMS,2025-03-17T18:44:00,2025-04-11T11:30:36.540302,50.5,592.4,Tesla Model 3
R00014,Pat Williams,2025-02-19T05:39:00,2025-02-21T22:07:37.193850,69.7,63.6,Honda Civic
R00015,Sam Williams,2025-02-26T19:38:00,2025-02-27T14:52:40.876300,33.5,18.6,Nissan Altima
R00016,JORDAN SMITH,2025-03-22T03:11:00,2025-03-27T21:52:46.124460,56.0,138.2,Toyota Corolla
R00017,Pat Brown,2025-03-19T19:37:00,,36.2,,Toyota Corolla
R00018,Taylor Williams,2025-02-12T01:18:00,2025-02-12T16:51:58.209478,12.3,15.4,BMW 3 Series
R00019,John Davis,2025-06-16T21:06:00,2025-07-27T19:25:43.367973,47.6,982.0,Toyota Corolla
R00020,PAT DAVIS,2025-01-21T09:23:00,2025-01-23T00:43:35.940523,33.9,38.6,Chevrolet Malibu
R00021,Alex Miller,2025-04-19T23:14:00,,10.9,,Ford Focus
R00022,Jane Williams,2025-01-06T10:33:00,2025-01-07T15:59:47.380513,49.1,28.9,Nissan Altima
R00023,Jordan Johnson,2025-05-04T08:30:00,2025-05-15T23:18:03.968831,67.5,278.1,Tesla Model 3
R00024,TAYLOR SMITH,2025-02-25T23:06:00,2025-02-28T02:11:45.238633,43.3,50.5,Chevrolet Malibu
R00025,Sam Miller,2025-01-16T16:46:00,2025-01-16T21:20:57.837736,8.4,4.2,Nissan Altima
R00026,Jane Brown,2025-04-25T13:04:00,2025-04-27T10:05:57.464613,53.6,44.2,Toyota Corolla
R00027,john williams,2025-01-25T21:14:00,2025-01-27T08:52:36.168892,37.9,35.2,Tesla Model 3
R00028,Pat Johnson,2025-04-07T12:06:00,2025-04-08T19:00:55.174671,28.8,30.6,Tesla Model 3
R00029,Jane Miller,2025-04-02T06:13:00,,3.2,,Chevrolet Malibu
R00030,Chris Miller,2025-03-11T10:44:00,2025-03-11T23:07:26.743675,15.4,12.0,Audi A4
R00031,John Johnson,2025-01-06T17:35:00,2025-01-07T15:44:00.386562,41.0,21.9,Audi A4
R00032,Jane Johnson,2025-04-28T15:22:00,2025-04-28T20:05:55.028587,4.4,4.6,Nissan Altima
R00033,John Miller,2025-03-29T09:37:00,2025-04-01T00:34:43.475270,66.0,62.1,Tesla Model 3
